Microflip
ts|accX|accY|accZ|gravX|gravY|gravZ|gyroX|gyroY|gyroZ
0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
12460.279835|-0.33726|-0.6615825|-7.43385|-0.11242|-0.2205275|-2.47795|-0.44968|-0.88211|-9.9118
12460.299794|-0.2341725|-0.422716875|-5.6195625|-0.1904775|-0.361433125|-4.3511375|-0.42465|-0.78415|-9.9707
12460.319722|-0.116461875|-0.25123265625|-4.248204375|-0.229298125|-0.44517734375|-5.767205625|-0.34576|-0.69641|-10.01541
12460.33968|0.05284359375|-0.0642544921875|-3.29785078125|-0.21168359375|-0.466595507813|-6.86648921875|-0.15884|-0.53085|-10.16434
12460.359639|-0.0598173046875|-0.117430869141|-2.40621058594|-0.231622695312|-0.505739130859|-7.66855941406|-0.29144|-0.62317|-10.07477
12460.379597|-0.0972804785156|-0.234788151855|-1.76780293945|-0.264049521484|-0.584001848145|-8.25782706055|-0.36133|-0.81879|-10.02563
12460.399556|-0.0830328588867|-0.0399061138916|-1.35469720459|-0.291727141113|-0.597303886108|-8.70939279541|-0.37476|-0.63721|-10.06409
12460.419484|-0.069137144165|0.0438854145813|-1.05996540344|-0.314772855835|-0.582675414581|-9.06271459656|-0.38391|-0.53879|-10.12268
12460.439442|0.0172671418762|-0.055893439064|-0.825529052582|-0.309017141876|-0.601306560936|-9.33789094742|-0.29175|-0.6572|-10.16342
12460.459401|0.0602153564072|-0.097652579298|-0.572001789436|-0.288945356407|-0.633857420702|-9.52855821056|-0.22873|-0.73151|-10.10056
12460.479329|0.0600415173054|-0.0402769344735|-0.443761342077|-0.268931517305|-0.647283065526|-9.67647865792|-0.20889|-0.68756|-10.12024
12460.499287|-0.00234636202097|0.00709729914486|-0.354218506558|-0.269713637979|-0.644917299145|-9.79455149344|-0.27206|-0.63782|-10.14877
12460.519246|-0.0199622715157|0.0349629743586|-0.298626379918|-0.276367728484|-0.633262974359|-9.89409362008|-0.29633|-0.5983|-10.19272
12460.539204|-0.0339692036368|-0.084207769231|-0.139279784939|-0.287690796363|-0.661332230769|-9.94052021506|-0.32166|-0.74554|-10.0798
12460.559132|-0.0771969027276|-0.121640826923|-0.0414073387041|-0.313423097272|-0.701879173077|-9.9543226613|-0.39062|-0.82352|-9.99573
12460.579091|0.0085898229543|-0.0219906201924|-0.0426130040281|-0.310559822954|-0.709209379808|-9.96852699597|-0.30197|-0.7312|-10.01114
12460.599049|-0.0119851327843|-0.0123754651443|-0.101882253021|-0.314554867216|-0.713334534856|-10.002487747|-0.32654|-0.72571|-10.10437
12460.618977|0.0869136504118|0.0710584011417|-0.180436689766|-0.285583650412|-0.689648401142|-10.0626333102|-0.19867|-0.61859|-10.24307
12460.638936|0.00636273780885|0.0242238008563|-0.0831425173244|-0.283462737809|-0.681573800856|-10.0903474827|-0.2771|-0.65735|-10.17349
12460.658894|-0.0214329466434|-0.0551896493578|-0.0364968879933|-0.290607053357|-0.699970350642|-10.102513112|-0.31204|-0.75516|-10.13901
12460.678822|0.109580290017|0.104865262982|-0.135177665995|-0.254080290017|-0.665015262982|-10.147572334|-0.1445|-0.56015|-10.28275
12460.698781|0.0786377175131|0.0934089472363|-0.0791757494962|-0.227867717513|-0.633878947236|-10.1739642505|-0.14923|-0.54047|-10.25314
12460.718739|-0.00796671186517|-0.0657832895728|0.0441856878778|-0.230523288135|-0.655806710427|-10.1592356879|-0.23849|-0.72159|-10.11505
12460.738667|0.0202299661011|0.0164675328204|0.0884142659084|-0.223779966101|-0.65031753282|-10.1297642659|-0.20355|-0.63385|-10.04135
12460.758626|-0.00623252542416|0.108140649615|0.0669931994313|-0.225857474576|-0.614270649615|-10.1074331994|-0.23209|-0.50613|-10.04044
12460.778584|-0.0820368940681|0.0228529872115|0.0729098995735|-0.253203105932|-0.606652987211|-10.0831298996|-0.33524|-0.5838|-10.01022
12460.798543|-0.139115170551|-0.0670927595914|0.16225492468|-0.299574829449|-0.629017240409|-10.0290449247|-0.43869|-0.69611|-9.86679
12460.818501|-0.151713877913|-0.0132395696935|0.15556869351|-0.350146122087|-0.633430430306|-9.97718869351|-0.50186|-0.64667|-9.82162
12460.838429|-0.105662908435|0.10428782273|0.0284390201326|-0.385367091565|-0.59866782273|-9.96770902013|-0.49103|-0.49438|-9.93927
12460.858387|-0.0674571813262|0.188645867047|-0.0521407349006|-0.407852818674|-0.535785867047|-9.9850892651|-0.47531|-0.34714|-10.03723
12460.878346|-0.0874403859947|0.127181900286|-0.0719480511754|-0.436999614005|-0.493391900286|-10.0090719488|-0.52444|-0.36621|-10.08102
12460.898304|0.013949710504|-0.0707835747858|-0.0481260383816|-0.432349710504|-0.516986425214|-10.0251139616|-0.4184|-0.58777|-10.07324
12460.918263|0.065399782878|-0.0570926810894|-0.0809595287862|-0.410549782878|-0.536017318911|-10.0521004712|-0.34515|-0.59311|-10.13306
12460.938221|0.0355423371585|0.122892989183|-0.11164464659|-0.398702337158|-0.495052989183|-10.0893153534|-0.36316|-0.37216|-10.20096
12460.958149|-0.00962074713113|0.140237241887|-0.0425359849422|-0.401909252869|-0.448307241887|-10.1034940151|-0.41153|-0.30807|-10.14603
12460.978108|0.0145269396517|0.0719829314154|-0.0617669887067|-0.397066939652|-0.424312931415|-10.1240830113|-0.38254|-0.35233|-10.18585
12460.998066|0.0104377047387|-0.00872030143844|0.02348475847|-0.393587704739|-0.427219698562|-10.1162547585|-0.38315|-0.43594|-10.09277
12461.017994|-0.135451721446|-0.0459077260788|0.0448460688525|-0.438738278554|-0.442522273921|-10.1013060689|-0.57419|-0.48843|-10.05646
12461.037953|-0.0790437910845|0.0428117054409|-0.0178604483606|-0.465086208916|-0.428251705441|-10.1072595516|-0.54413|-0.38544|-10.12512
12461.057911|-0.102880343313|0.0876162790807|-0.00172533627047|-0.499379656687|-0.399046279081|-10.1078346637|-0.60226|-0.31143|-10.10956
12461.07787|-0.059542757485|-0.0337377906895|0.00923599779715|-0.519227242515|-0.41029220931|-10.1047559978|-0.57877|-0.44403|-10.09552
12461.097828|-0.0289745681138|0.114316656983|-5.55016521382e-05|-0.528885431886|-0.372186656983|-10.1047744983|-0.55786|-0.25787|-10.10483
12461.117756|-0.0403834260853|0.0416749927372|0.0221583737609|-0.542346573915|-0.358294992737|-10.0973883738|-0.58273|-0.31662|-10.07523
12461.137715|-0.023312569564|-0.0201262554471|-0.0391137196793|-0.550117430436|-0.365003744553|-10.1104262803|-0.57343|-0.38513|-10.14954
12461.157673|0.031153072827|0.128072808415|-0.0955902897595|-0.539733072827|-0.322312808415|-10.1422897102|-0.50858|-0.19424|-10.23788
12461.177601|0.0560948046203|0.066414606311|-0.0759302173196|-0.52103480462|-0.300174606311|-10.1675997827|-0.46494|-0.23376|-10.24353
12461.19756|0.0150636034652|-0.156184045267|0.0458173370103|-0.516013603465|-0.352235954733|-10.152327337|-0.50095|-0.50842|-10.10651
12461.217518|-0.0324122974011|-0.0726255339501|0.0387130027577|-0.526817702599|-0.37644446605|-10.1394230028|-0.55923|-0.44907|-10.10071
12461.237477|-0.00497422305083|0.0963633495374|-0.0554227479317|-0.528475776949|-0.344323349537|-10.1578972521|-0.53345|-0.24796|-10.21332
12461.257405|-0.0187231672881|0.0207775121531|-0.00105206094879|-0.534716832712|-0.337397512153|-10.1582479391|-0.55344|-0.31662|-10.1593
12461.277363|-0.0253673754661|-0.0396918658852|0.0766859542884|-0.543172624534|-0.350628134115|-10.1326859543|-0.56854|-0.39032|-10.056
12461.297322|-0.0551905315996|0.0402661005861|0.0802919657163|-0.5615694684|-0.337206100586|-10.1059219657|-0.61676|-0.29694|-10.02563
12461.31725|-0.0488328986997|0.0192195754396|0.0860789742872|-0.5778471013|-0.33079957544|-10.0772289743|-0.62668|-0.31158|-9.99115
12461.337208|-0.00274717402476|0.14658718158|0.0167242307154|-0.578762825975|-0.28193718158|-10.0716542307|-0.58151|-0.13535|-10.05493
12461.357136|0.0122421194814|0.0544403861848|0.0860131730366|-0.574682119481|-0.263790386185|-10.042983173|-0.56244|-0.20935|-9.95697
12461.377095|-0.0464384103889|-0.0504972103614|0.0499748797774|-0.590161589611|-0.280622789639|-10.0263248798|-0.6366|-0.33112|-9.97635
12461.397053|0.0833936922083|0.0865295922289|-0.110951340167|-0.562363692208|-0.251779592229|-10.0633086598|-0.47897|-0.16525|-10.17426
12461.416981|0.0259227691562|0.0762221941717|-0.0605485051252|-0.553722769156|-0.226372194172|-10.0834914949|-0.5278|-0.15015|-10.14404
12461.43694|-0.0106554231328|-0.0492583543712|-0.0234438788439|-0.557274576867|-0.242791645629|-10.0913061212|-0.56793|-0.29205|-10.11475
12461.456898|0.0441934326504|0.0841287342216|-0.0988304091329|-0.54254343265|-0.214748734222|-10.1242495909|-0.49835|-0.13062|-10.22308
12461.476826|0.00647507448778|-0.0840684493338|0.0399746931503|-0.540385074488|-0.242771550666|-10.1109246932|-0.53391|-0.32684|-10.07095
12461.496785|0.0190538058658|-0.136753837|0.0369560198627|-0.534033805866|-0.288356163|-10.0986060199|-0.51498|-0.42511|-10.06165
12461.516743|0.000782854399379|0.0630271222497|0.028519514897|-0.533772854399|-0.26734712225|-10.0890995149|-0.53299|-0.20432|-10.06058
12461.536702|-0.0765428592005|0.0295328416873|0.0110921361728|-0.5592871408|-0.257502841687|-10.0854021362|-0.63583|-0.22797|-10.07431
12461.55663|0.0230453555997|-0.00794786873453|0.0183916021296|-0.5516053556|-0.260152131265|-10.0792716021|-0.52856|-0.2681|-10.06088
12461.576588|-0.00549348330026|-0.119938401551|0.0688362015972|-0.5534365167|-0.300131598449|-10.0563262016|-0.55893|-0.42007|-9.98749
12461.596516|0.0143073875248|-0.0643188011632|0.0183271511979|-0.548667387525|-0.321571198837|-10.0502171512|-0.53436|-0.38589|-10.03189
12461.616475|-0.0248644593564|0.106935899128|-0.0995496366016|-0.556955540644|-0.285925899128|-10.0834003634|-0.58182|-0.17899|-10.18295
12461.636433|-0.0192183445173|-0.000820575654284|-0.0233922274512|-0.563361655483|-0.286199424346|-10.0911977725|-0.58258|-0.28702|-10.11459
12461.656361|0.014078741612|-0.126157931741|0.0665683294116|-0.558668741612|-0.328252068259|-10.0690083294|-0.54459|-0.45441|-10.00244
12461.67632|0.029676556209|0.0230265511945|-0.00889625294129|-0.548776556209|-0.320576551194|-10.0719737471|-0.5191|-0.29755|-10.08087
12461.696278|-0.0650650828432|0.102762413396|-0.042267189706|-0.570464917157|-0.286322413396|-10.0860628103|-0.63553|-0.18356|-10.12833
12461.716237|-0.0304838121324|0.0769518100469|-0.0466928922795|-0.580626187868|-0.260671810047|-10.1016271077|-0.61111|-0.18372|-10.14832
12461.736165|-0.0201178590993|-0.0785836424648|0.00869783079039|-0.587332140901|-0.286866357535|-10.0987278308|-0.60745|-0.36545|-10.09003
12461.756123|0.0249616056755|-0.0925827318486|0.0686683730928|-0.579011605676|-0.317727268151|-10.0758383731|-0.55405|-0.41031|-10.00717
12461.776082|0.0274212042566|0.133235451114|-0.0989862201804|-0.569871204257|-0.273315451114|-10.1088337798|-0.54245|-0.14008|-10.20782
12461.79601|0.0131259031925|0.0852790883351|-0.0521596651353|-0.565495903192|-0.244889088335|-10.1262203349|-0.55237|-0.15961|-10.17838
12461.815968|-0.0242580726056|-0.101520683749|0.0492302511485|-0.573581927394|-0.278729316251|-10.1098102511|-0.59784|-0.38025|-10.06058
12461.835927|0.000691445545767|-0.00278301281148|0.0221626883614|-0.573351445546|-0.279656987189|-10.1024226884|-0.57266|-0.28244|-10.08026
12461.855885|0.0520135841593|0.0307552403914|-0.020682983729|-0.556013584159|-0.269405240391|-10.1093170163|-0.504|-0.23865|-10.13
12461.875844|0.0204701881195|-0.0173285697065|0.00302026220328|-0.549190188119|-0.275181430294|-10.1083102622|-0.52872|-0.29251|-10.10529
12461.895772|0.0261151410896|-0.0351964272798|0.0242401966525|-0.54048514109|-0.28691357272|-10.1002301967|-0.51437|-0.32211|-10.07599
12461.91573|0.0304538558172|-0.0523773204599|0.0437026474893|-0.530333855817|-0.30437267954|-10.0856626475|-0.49988|-0.35675|-10.04196
12461.935689|0.00133039186291|0.0310970096551|-0.051568014383|-0.529890391863|-0.294007009655|-10.1028519856|-0.52856|-0.26291|-10.15442
12461.955616|0.0122102938972|0.0563977572413|-0.0571035107872|-0.525820293897|-0.275207757241|-10.1218864892|-0.51361|-0.21881|-10.17899
12461.975575|-0.0284922795771|-0.093661682069|0.0308748669096|-0.535317720423|-0.306428317931|-10.1115948669|-0.56381|-0.40009|-10.08072
12461.995533|0.0413457903172|-0.0117612615518|-0.0326888498178|-0.521535790317|-0.310348738448|-10.1224911502|-0.48019|-0.32211|-10.15518
12462.015461|0.0865093427379|0.0495440538362|-0.0396216373634|-0.492699342738|-0.293834053836|-10.1356983626|-0.40619|-0.24429|-10.17532
12462.03542|-0.0127054929466|-0.0469619596229|0.0335687719775|-0.496934507053|-0.309488040377|-10.124508772|-0.50964|-0.35645|-10.09094
12462.055378|0.0267483802901|-0.0870614697171|0.0282665789831|-0.48801838029|-0.338508530283|-10.115086579|-0.46127|-0.42557|-10.08682
12462.075306|0.0535937852175|0.0152688977121|0.0285199342373|-0.470153785218|-0.333418897712|-10.1055799342|-0.41656|-0.31815|-10.07706
12462.095265|0.0330928389132|0.0374316732841|-0.008017549322|-0.459122838913|-0.320941673284|-10.1082524507|-0.42603|-0.28351|-10.11627
12462.115223|0.00971462918487|-0.0380687450369|-0.0023531619915|-0.455884629185|-0.333631254963|-10.109036838|-0.44617|-0.3717|-10.11139
12462.135151|-0.0438640281114|0.00852094122231|0.0432126285064|-0.470505971889|-0.330790941222|-10.0946326285|-0.51437|-0.32227|-10.05142
12462.15511|-0.0325605210835|0.0469057059167|0.0325219713798|-0.481359478916|-0.315155705917|-10.0837919714|-0.51392|-0.26825|-10.05127
12462.175068|-0.0392928908126|0.00588427943755|0.0134039785348|-0.494457109187|-0.313194279438|-10.0793239785|-0.53375|-0.30731|-10.06592
12462.195027|0.0585353318905|0.00372320957816|-0.00574201609887|-0.474945331891|-0.311953209578|-10.0812379839|-0.41641|-0.30823|-10.08698
12462.214955|0.0656439989179|-0.0344000928164|0.0617309879258|-0.453063998918|-0.323419907184|-10.0606609879|-0.38742|-0.35782|-9.99893
12462.234913|0.0134129991884|0.0999749303877|-0.0745492590556|-0.448592999188|-0.290094930388|-10.0855107409|-0.43518|-0.19012|-10.16006
12462.254872|0.0137197493913|0.0713136977908|-0.0781194442917|-0.444019749391|-0.266323697791|-10.1115505557|-0.4303|-0.19501|-10.18967
12462.2748|-0.0346801879565|-0.0897947266569|0.0298729167812|-0.455579812043|-0.296255273343|-10.1015929168|-0.49026|-0.38605|-10.07172
12462.294758|-0.0485551409674|-0.144476044993|0.0629196875859|-0.471764859033|-0.344413955007|-10.0806196876|-0.52032|-0.48889|-10.0177
12462.314717|-0.00609385572554|0.0312629662555|-0.0115202343106|-0.473796144274|-0.333992966255|-10.0844597657|-0.47989|-0.30273|-10.09598
12462.334675|-0.0156703917942|0.0198997246916|-0.0270601757329|-0.479019608206|-0.327359724692|-10.0934798243|-0.49469|-0.30746|-10.12054
12462.354603|-0.0265127938456|-0.00693770648129|-0.0460501317997|-0.487857206154|-0.329672293519|-10.1088298682|-0.51437|-0.33661|-10.15488
12462.374562|-0.0241220953842|-0.075125779861|0.0131849011502|-0.495897904616|-0.354714220139|-10.1044349012|-0.52002|-0.42984|-10.09125
12462.39452|-0.0357165715382|0.0393256651043|0.0178986758627|-0.507803428462|-0.341605665104|-10.0984686759|-0.54352|-0.30228|-10.08057
